id,supermarket,category,name,price,reference_price,reference_unit,insert_date
253560,mercadona-es,perfume_y_colonia,Lote mujer Aitana,13.95,13.95,ud,2020-07-21 16:06:00
253561,mercadona-es,perfume_y_colonia,Lote mujer Pacha Ibiza Queen Sexy,7.95,7.95,ud,2020-07-21 16:06:00
253562,mercadona-es,perfume_y_colonia,Lote mujer Adidas Fruity Rhythm,12.95,12.95,ud,2020-07-21 16:06:00
253563,mercadona-es,perfume_y_colonia,Lote mujer Alejandro Sanz Mi acorde,13.95,13.95,ud,2020-07-21 16:06:00
253564,mercadona-es,perfume_y_colonia,Lote mujer Bustamante Muy mía,5.9,5.9,ud,2020-07-21 16:06:00
253565,mercadona-es,perfume_y_colonia,Lote mujer Chanson d'Eau,9.95,9.95,ud,2020-07-21 16:06:00
253566,mercadona-es,perfume_y_colonia,Lote mujer Shakira Rock,9.9,9.9,ud,2020-07-21 16:06:00
253567,mercadona-es,perfume_y_colonia,Lote mujer Victorio & Lucchino Hechizo,21.9,21.9,ud,2020-07-21 16:06:00
253568,mercadona-es,perfume_y_colonia,Lote mujer Jovan Musk,10.5,10.5,100 ml,2020-07-21 16:06:00
253569,mercadona-es,perfume_y_colonia,Lote mujer Adidas Pure lightness,9,9,ud,2020-07-21 16:06:00
253570,mercadona-es,perfume_y_colonia,Lote mujer Adolfo Dominguez Love Live,21.9,21.9,ud,2020-07-21 16:06:00
253571,mercadona-es,perfume_y_colonia,Lote mujer Adolfo Dominguez Azahar,21.9,21.9,ud,2020-07-21 16:06:00
253572,mercadona-es,perfume_y_colonia,Lote mujer Benetton Colors pink,11.95,11.95,ud,2020-07-21 16:06:00
253573,mercadona-es,perfume_y_colonia,Lote mujer Victorio & Lucchino Viva!,17.95,17.95,ud,2020-07-21 16:06:00
253574,mercadona-es,perfume_y_colonia,Lote mujer Agatha Ruiz de la Prada Love,9.95,9.95,ud,2020-07-21 16:06:00
253575,mercadona-es,perfume_y_colonia,Lote mujer Agua de Sevilla,29,29,ud,2020-07-21 16:06:00
253576,mercadona-es,perfume_y_colonia,Lote mujer Pacha Ibiza 24/7,9.95,9.95,ud,2020-07-21 16:06:00
253577,mercadona-es,perfume_y_colonia,Lote mujer Malú Live love music,7.95,7.95,ud,2020-07-21 16:06:00
253578,mercadona-es,perfume_y_colonia,Lote baño Flor de Mayo Love,3.25,3.25,ud,2020-07-21 16:06:00
253579,mercadona-es,perfume_y_colonia,Lote mujer 9.60 Pure,4.9,4.9,ud,2020-07-21 16:06:00
253580,mercadona-es,perfume_y_colonia,Eau de toilette hombre 9.60 Sport water,3.9,1.95,100 ml,2020-07-21 16:06:00
253581,mercadona-es,aves_y_pollo,Mollejas de pollo,1.74,4.35,kg,2020-07-22 04:00:00
253582,mercadona-es,perfume_y_colonia,Eau de toilette hombre 9.60 Sport water acción,3.9,1.95,100 ml,2020-07-21 16:06:00
253583,mercadona-es,perfume_y_colonia,Eau de toilette hombre Como tú Fuerza,7,7,100 ml,2020-07-21 16:06:00
253584,mercadona-es,perfume_y_colonia,Eau de toilette hombre Bustamante Muy mío,5.6,5.6,100 ml,2020-07-21 16:06:00
253585,mercadona-es,perfume_y_colonia,Eau de toilette hombre Enciende,7,7,100 ml,2020-07-21 16:06:00
253586,mercadona-es,perfume_y_colonia,Eau de cologne hombre Impacto,6.3,3.15,100 ml,2020-07-21 16:06:00
253587,mercadona-es,perfume_y_colonia,Eau de toilette hombre Victorio & Lucchino Nº 2 Frescor extremo,9.9,6.6,100 ml,2020-07-21 16:06:00
253588,mercadona-es,perfume_y_colonia,Eau de toilette hombre Como tú Viento,7,7,100 ml,2020-07-21 16:06:00
253589,mercadona-es,perfume_y_colonia,Eau de toilette hombre Afán,8,8,100 ml,2020-07-21 16:06:00
